Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
04.04.2017	Dienstag		Psalm 139,11-12	Spräche ich: Finsternis möge mich decken und Nacht statt Licht um mich sein, so wäre auch Finsternis nicht finster bei dir, und die Nacht leuchtete wie der Tag.	1.Johannes 1,5	Das ist die Botschaft, die wir von ihm gehört haben und euch verkündigen: Gott ist Licht, und in ihm ist keine Finsternis.
05.04.2017	Mittwoch		1.Könige 19,18	/Der HERR sprach zu Elia:/ Ich will übriglassen siebentausend in Israel, alle Knie, die sich nicht gebeugt haben vor Baal.	Lukas 22,28	/Jesus sprach zu den Jüngern:/ Ihr seid’s, die ihr ausgeharrt habt bei mir in meinen Anfechtungen.
06.04.2017	Donnerstag		Jeremia 5,24	Lasst uns doch den HERRN, unsern Gott, fürchten, der uns Frühregen und Spätregen gibt zur rechten Zeit und uns die Ernte treulich und jährlich gewährt.	Apostelgeschichte 14,17	Gott hat viel Gutes getan und euch vom Himmel Regen und fruchtbare Zeiten gegeben, hat euch ernährt und eure Herzen mit Freude erfüllt.
07.04.2017	Freitag		Psalm 92,14-15	Die gepflanzt sind im Hause des HERRN, werden in den Vorhöfen unsres Gottes grünen. Und wenn sie auch alt werden, werden sie dennoch blühen, fruchtbar und frisch sein.	1.Thessalonicher 3,12	Euch lasse der Herr wachsen und immer reicher werden in der Liebe untereinander und zu jedermann.
08.04.2017	Samstag		Amos 6,6	Ihr trinkt den Wein kübelweise und verwendet die kostbarsten Parfüme; aber dass euer Land in den Untergang treibt, lässt euch kalt.	Galater 6,2	Einer trage des andern Last, so werdet ihr das Gesetz Christi erfüllen.
09.04.2017	Sonntag	Palmsonntag	Jesaja 44,3	Ich will Wasser gießen auf das Durstige und Ströme auf das Dürre: ich will meinen Geist auf deine Kinder gießen und meinen Segen auf deine Nachkommen.	Matthäus 21,15-17	Als die Hohenpriester und Schriftgelehrten die Wunder sahen, die Jesus tat, und die Kinder, die im Tempel schrien und sagten: Hosianna dem Sohn Davids!, entrüsteten sie sich und sprachen zu ihm: Hörst du auch, was diese sagen? Jesus antwortete ihnen: Ja! Habt ihr nie gelesen: »Aus dem Munde der Unmündigen und Säuglinge hast du dir Lob bereitet«?
10.04.2017	Montag		Jesaja 25,8	Er wird den Tod verschlingen auf ewig.	1.Korinther 15,57	Gott sei Dank, der uns den Sieg gibt durch unsern Herrn Jesus Christus!
11.04.2017	Dienstag		Hesekiel 16,60	Ich will gedenken an meinen Bund, den ich mit dir geschlossen habe zur Zeit deiner Jugend, und will mit dir einen ewigen Bund aufrichten.	Apostelgeschichte 2,39	Euch und euren Kindern gilt diese Verheißung und allen, die fern sind, so viele der Herr, unser Gott, herzurufen wird.
12.04.2017	Mittwoch		1.Samuel 2,1	Mein Herz ist fröhlich in dem HERRN.	Johannes 15,15	/Jesus spricht:/ Ich nenne euch nicht mehr Diener; denn ein Diener weiß nicht, was sein Herr tut. Vielmehr nenne ich euch Freunde; denn ich habe euch alles gesagt, was ich von meinem Vater gehört habe.
13.04.2017	Donnerstag	Gründonnerstag	Joel 2,17	HERR, schone dein Volk und lass dein Erbteil nicht zuschanden werden!	Johannes 1,29	Siehe, das ist Gottes Lamm, das der Welt Sünde trägt!
14.04.2017	Freitag	Karfreitag	Prediger 12,1	Denk an deinen Schöpfer in deiner Jugend, ehe die bösen Tage kommen und die Jahre sich nahen, da du wirst sagen: »Sie gefallen mir nicht.«	Lukas 23,42	Einer der Übeltäter sprach: Jesus, gedenke an mich, wenn du in dein Reich kommst!
15.04.2017	Samstag		5.Mose 8,18	Gedenke an den HERRN, deinen Gott; denn er ist’s, der dir Kräfte gibt.	Johannes 19,26-27	Als Jesus seine Mutter sah und bei ihr den Jünger, den er lieb hatte, spricht er zu seiner Mutter: Frau, siehe, das ist dein Sohn! Danach spricht er zu dem Jünger: Siehe, das ist deine Mutter! Und von der Stunde an nahm sie der Jünger zu sich.
16.04.2017	Sonntag	Osterfest	Psalm 90,10	Unser Leben währet siebzig Jahre, und wenn’s hoch kommt, so sind’s achtzig Jahre, und was daran köstlich scheint, ist doch nur vergebliche Mühe, denn es fähret schnell dahin, als flögen wir davon.	1.Korinther 15,54-55	Wenn mit Unvergänglichkeit bekleidet wird, was jetzt vergänglich ist, und mit Unsterblichkeit, was jetzt sterblich ist, dann wird geschehen, was geschrieben steht: Verschlungen ist der Tod in den Sieg. Tod, wo ist dein Sieg? Tod, wo ist dein Stachel?
17.04.2017	Montag	Ostermontag	Jeremia 8,4	Wo ist jemand, wenn er fällt, der nicht gern wieder aufstünde? Wo ist jemand, wenn er irregeht, der nicht gern wieder zurechtkäme?	Johannes 21,17	Spricht Jesus zum dritten Mal zu Petrus: Simon, Sohn des Johannes, hast du mich lieb? Petrus wurde traurig, weil er zum dritten Mal zu ihm sagte: Hast du mich lieb?, und sprach zu ihm: Herr, du weißt alle Dinge, du weißt, dass ich dich lieb habe. Spricht Jesus zu ihm: Weide meine Schafe!
18.04.2017	Dienstag		Prediger 7,14	Freu dich, wenn du einen Glückstag hast. Und wenn du einen Unglückstag hast, dann denke daran: Gott schickt dir beide, und du weißt nicht, was als Nächstes kommt.	Philipper 4,12-13	/Paulus schreibt:/ Ich kann niedrig sein und kann hoch sein; mir ist alles und jedes vertraut: beides, satt sein und hungern, beides, Überfluss haben und Mangel leiden; ich vermag alles durch den, der mich mächtig macht.
19.04.2017	Mittwoch		Jeremia 23,35	Ihr sollt einer mit dem andern reden: »Was hat der HERR geantwortet?« und »Was hat der HERR gesagt?«	Kolosser 3,1	Seid ihr nun mit Christus auferweckt, so sucht, was droben ist, wo Christus ist, sitzend zur Rechten Gottes.
20.04.2017	Donnerstag		1.Samuel 7,3	Richtet euer Herz zu dem HERRN und dient ihm allein.	Philipper 1,27	/Paulus schreibt:/ Eins ist wichtig: Ihr sollt als Bürger eurer Stadt leben, wie es dem Evangelium von Christus entspricht.
21.04.2017	Freitag		Daniel 6,17	Sie warfen Daniel zu den Löwen in die Grube. Der König aber sprach zu Daniel: Dein Gott, dem du ohne Unterlass dienst, der helfe dir!	2.Korinther 4,9	Wir leiden Verfolgung, aber wir werden nicht verlassen. Wir werden unterdrückt, aber wir kommen nicht um.
22.04.2017	Samstag		Micha 7,9	Er wird mich ans Licht bringen, dass ich seine Gnade schaue.	Lukas 24,30-31	Und es geschah, als Jesus mit ihnen zu Tisch saß, nahm er das Brot, dankte, brach’s und gab’s ihnen. Da wurden ihre Augen geöffnet und sie erkannten ihn.
23.04.2017	Sonntag	Quasimodogeniti (Wie die neugeborenen Kindlein. 1.Petrus 2,2)	5.Mose 8,6	So halte nun die Gebote des HERRN, deines Gottes, dass du in seinen Wegen wandelst und ihn fürchtest.	Römer 13,8	Seid niemandem etwas schuldig, außer dass ihr euch untereinander liebt; denn wer den andern liebt, der hat das Gesetz erfüllt.
24.04.2017	Montag		Psalm 40,17	Die dein Heil lieben, lass allewege sagen: Der HERR sei hoch gelobt!	Lukas 19,5-6	Jesus sprach: Zachäus, steig eilend herunter; denn ich muss heute in deinem Haus einkehren. Und er stieg eilend herunter und nahm ihn auf mit Freuden.
25.04.2017	Dienstag		Psalm 84,11	Ein Tag in deinen Vorhöfen ist besser als sonst tausend.	Johannes 10,9	/Jesus spricht:/ Ich bin die Tür; wenn jemand durch mich hineingeht, wird er selig werden und wird ein- und ausgehen und Weide finden.
26.04.2017	Mittwoch		Psalm 71,20	Gott, der du uns viel Angst und Not hast erfahren lassen, du wirst uns wieder beleben.	Johannes 14,1	/Jesus spricht:/ Euer Herz erschrecke nicht! Glaubt an Gott und glaubt an mich!
27.04.2017	Donnerstag		Jesaja 43,18-19	Gedenkt nicht an das Frühere und achtet nicht auf das Vorige! Denn siehe, ich will ein Neues schaffen, jetzt wächst es auf, erkennt ihr’s denn nicht?	Lukas 13,19	Das Reich Gottes gleicht einem Senfkorn, das ein Mensch nahm und warf’s in seinen Garten; und es wuchs und wurde ein Baum.
28.04.2017	Freitag		Daniel 3,28	Gelobt sei Gott, der seinen Engel gesandt und seine Knechte errettet hat, die ihm vertraut haben.	Apostelgeschichte 12,7	Und siehe, der Engel des Herrn kam herein und Licht leuchtete auf in dem Raum; und er stieß Petrus in die Seite und weckte ihn und sprach: Steh schnell auf! Und die Ketten fielen ihm von seinen Händen.
29.04.2017	Samstag		Jesaja 53,1	Wer glaubt dem, was uns verkündet wurde, und wem ist der Arm des HERRN offenbart?	Kolosser 4,3	/Paulus schreibt:/ Betet für uns, dass Gott uns eine Tür für das Wort auftue und wir vom Geheimnis Christi reden können.
30.04.2017	Sonntag	Miserikordias Domini (Die Erde ist voll der Güte des HERRN. Psalm 33,5)	Psalm 136,23	Der HERR dachte an uns, als wir unterdrückt waren, denn seine Güte währet ewiglich.	Johannes 8,36	Wenn euch der Sohn frei macht, so seid ihr wirklich frei.
01.05.2017	Montag		Jeremia 18,6	Seht, wie Ton in der Hand des Töpfers, so seid ihr in meiner Hand.	Epheser 2,10	Wir sind sein Werk, geschaffen in Christus Jesus zu guten Werken, die Gott zuvor bereitet hat.
02.05.2017	Dienstag		Jesaja 1,17	Lernt Gutes tun! Trachtet nach Recht, helft den Unterdrückten!	Epheser 3,16.17	/Paulus schreibt:/ Ich bitte den Vater, dass Christus durch den Glauben in euren Herzen Wohnung nimmt und ihr in der Liebe tief verwurzelt und fest gegründet seid.
03.05.2017	Mittwoch		Sprüche 19,21	In eines Mannes Herzen sind viele Pläne; aber zustande kommt der Ratschluss des HERRN.	Hebräer 2,1	Darum sollen wir desto mehr achten auf das Wort, das wir hören, damit wir nicht am Ziel vorbeitreiben.
04.05.2017	Donnerstag		Jesaja 60,17	/Der HERR spricht:/ Frieden mache ich zu deiner Wache und Gerechtigkeit zu deiner Obrigkeit.	Jakobus 3,17-18	Die Weisheit, die von oben kommt, ist zuerst einmal lauter, dann aber auch friedfertig, freundlich, wohlwollend, voller Barmherzigkeit und voll guter Früchte, unparteiisch, fern jeder Verstellung. Die Frucht der Gerechtigkeit aber wird in Frieden gesät für alle, die Frieden stiften.
05.05.2017	Freitag		5.Mose 15,7	Du sollst dein Herz nicht verhärten und deine Hand nicht zuhalten gegenüber deinem armen Bruder.	1.Johannes 3,17	Wenn jemand dieser Welt Güter hat und sieht seinen Bruder darben und verschließt sein Herz vor ihm, wie bleibt dann die Liebe Gottes in ihm?
06.05.2017	Samstag		Psalm 121,4	Siehe, der Hüter Israels schläft noch schlummert nicht.	1.Petrus 5,7	Alle eure Sorge werft auf ihn; denn er sorgt für euch.
07.05.2017	Sonntag	Jubilate (Jauchzet Gott, alle Lande! Psalm 66,1)	Psalm 71,8	Lass meinen Mund deines Ruhmes und deines Preises voll sein täglich.	1.Thessalonicher 5,16-18	Seid allezeit fröhlich, betet ohne Unterlass, seid dankbar in allen Dingen; denn das ist der Wille Gottes in Christus Jesus für euch.
08.05.2017	Montag		Psalm 118,17	Ich werde nicht sterben, sondern leben und des HERRN Werke verkündigen.	Apostelgeschichte 16,23.25	Nachdem man Paulus und Silas hart geschlagen hatte, warf man sie ins Gefängnis. Um Mitternacht aber beteten Paulus und Silas und lobten Gott. Und es hörten sie die Gefangenen.
09.05.2017	Dienstag		Hosea 8,12	Wenn ich auch noch so viele meiner Gebote aufschreibe, so werden sie doch geachtet wie eine fremde Lehre.	Galater 1,6	/Paulus schreibt:/ Mich wundert, dass ihr euch so bald abwenden lasst von dem, der euch berufen hat in die Gnade Christi, zu einem andern Evangelium.
10.05.2017	Mittwoch		Sprüche 17,5	Wer den Armen verspottet, verhöhnt dessen Schöpfer; und wer sich über eines andern Unglück freut, wird nicht ungestraft bleiben.	Matthäus 18,10	Seht zu, dass ihr nicht einen von diesen Kleinen verachtet. Denn ich sage euch: Ihre Engel im Himmel sehen allezeit das Angesicht meines Vaters im Himmel.
11.05.2017	Donnerstag		Psalm 71,5	Du bist meine Zuversicht, HERR, mein Gott, meine Hoffnung von meiner Jugend an.	2.Korinther 4,16	Darum verzagen wir nicht: Wenn auch unser äußerer Mensch verbraucht wird, so wird doch unser innerer Mensch Tag für Tag erneuert.
12.05.2017	Freitag		Micha 1,2	Höret, alle Völker! Merk auf, Erde und alles, was darinnen ist! Gott der HERR tritt gegen euch als Zeuge auf.	Markus 16,15	/Jesus Christus spricht:/ Gehet hin in alle Welt und predigt das Evangelium aller Kreatur.
13.05.2017	Samstag		Jeremia 33,11	Man wird wieder hören den Jubel der Freude und Wonne, die Stimme des Bräutigams und der Braut und die Stimme derer, die da sagen: »Danket dem HERRN Zebaoth; denn er ist freundlich, und seine Güte währet ewiglich.«	Johannes 3,29	/Johannes der Täufer sprach:/ Der Freund des Bräutigams freut sich sehr über die Stimme des Bräutigams. Diese meine Freude ist nun erfüllt.
14.05.2017	Sonntag	Kantate (Singet dem HERRN ein neues Lied! Psalm 98,1)	2.Mose 6,7	Ich will euch annehmen zu meinem Volk und will euer Gott sein.	1.Johannes 3,1	Seht, welch eine Liebe hat uns der Vater erwiesen, dass wir Gottes Kinder heißen sollen – und wir sind es auch!
15.05.2017	Montag		Psalm 40,12	Du, HERR, wollest deine Barmherzigkeit nicht von mir wenden; lass deine Güte und Treue allewege mich behüten.	1.Thessalonicher 5,23-24	Der Gott des Friedens heilige euch durch und durch und bewahre euren Geist samt Seele und Leib unversehrt, untadelig für das Kommen unseres Herrn Jesus Christus. Treu ist er, der euch ruft; er wird’s auch tun.
16.05.2017	Dienstag		Psalm 12,6	Weil die Elenden Gewalt leiden und die Armen seufzen, will ich jetzt aufstehen, spricht der HERR, ich will Hilfe schaffen dem, der sich danach sehnt.	Lukas 18,7	Sollte Gott nicht Recht schaffen seinen Auserwählten, die zu ihm Tag und Nacht rufen?
17.05.2017	Mittwoch		Jesaja 62,11	Der HERR lässt es hören bis an die Enden der Erde: Sagt der Tochter Zion: Siehe, dein Heil kommt!	2.Korinther 1,20	Auf alle Gottesverheißungen ist in Jesus Christus das Ja.
18.05.2017	Donnerstag		1.Mose 3,6	Die Frau sah, dass von dem Baum gut zu essen wäre und dass er eine Lust für die Augen wäre und verlockend, weil er klug machte.	Lukas 9,25	Welchen Nutzen hätte der Mensch, wenn er die ganze Welt gewönne und verlöre sich selbst?
19.05.2017	Freitag		Psalm 146,7	Der HERR verschafft den Unterdrückten Recht, den Hungernden gibt er zu essen.	Matthäus 14,17-18	Die Jünger sprachen zu Jesus: Wir haben hier nichts als fünf Brote und zwei Fische. Und er sprach: Bringt sie mir her!
20.05.2017	Samstag		4.Mose 11,23	Ist denn die Hand des HERRN zu kurz?	Römer 4,21	Was Gott verheißt, das kann er auch tun.
21.05.2017	Sonntag	Rogate (Betet!)	1.Könige 3,5.9	/Der HERR sprach zu Salomo:/ Bitte, was ich dir geben soll! Salomo sprach: Du wollest deinem Knecht ein gehorsames Herz geben, dass er dein Volk richten könne und verstehen, was gut und böse ist.	Jakobus 1,5	Wem es unter euch aber an Weisheit fehlt, der erbitte sie von Gott, der allen vorbehaltlos gibt und niemandem etwas zum Vorwurf macht: Sie wird ihm zuteil werden.
22.05.2017	Montag		Jeremia 4,3	Pflüget ein Neues und säet nicht unter die Dornen!	Römer 12,2	Stellt euch nicht dieser Welt gleich, sondern ändert euch durch Erneuerung eures Sinnes, auf dass ihr prüfen könnt, was Gottes Wille ist, nämlich das Gute und Wohlgefällige und Vollkommene.
23.05.2017	Dienstag		Sprüche 14,21	Wer seinen Nächsten verachtet, versündigt sich; aber wohl dem, der sich der Elenden erbarmt!	1.Thessalonicher 5,15	Seht zu, dass keiner dem andern Böses mit Bösem vergelte, sondern jagt allezeit dem Guten nach füreinander und für jedermann.
24.05.2017	Mittwoch		5.Mose 7,9	So sollst du nun wissen, dass der HERR, dein Gott, allein Gott ist, der treue Gott, der den Bund und die Barmherzigkeit bis ins tausendste Glied hält denen, die ihn lieben und seine Gebote halten.	Johannes 17,3	/Jesus betet:/ Das ist das ewige Leben, dass sie dich, der du allein wahrer Gott bist, und den du gesandt hast, Jesus Christus, erkennen.
25.05.2017	Donnerstag	Himmelfahrt des Herrn	Sacharja 6,15	Jene, die fern sind, werden kommen und am Tempel des HERRN bauen.	Apostelgeschichte 9,13.15	/Hananias betete:/ Herr, ich habe von vielen gehört über diesen Saulus, wie viel Böses er deinen Heiligen in Jerusalem angetan hat. Doch der Herr sprach zu Hananias: Geh nur hin; denn dieser ist mein auserwähltes Werkzeug, dass er meinen Namen trage vor Heiden und vor Könige und vor das Volk Israel.
26.05.2017	Freitag		Hiob 9,8.9	Gott breitet den Himmel aus und geht auf den Wogen des Meers. Er macht den großen Wagen am Himmel und den Orion und das Siebengestirn und die Sterne des Südens.	Offenbarung 14,7	Betet an den, der gemacht hat Himmel und Erde und Meer und die Wasserquellen!
27.05.2017	Samstag		1.Mose 8,21	Der HERR sprach: Ich will hinfort nicht mehr die Erde verfluchen um der Menschen willen; denn das Dichten und Trachten des menschlichen Herzens ist böse von Jugend auf.	1.Johannes 3,5	Ihr wisst, dass der Sohn Gottes erschienen ist, damit er die Sünden wegnehme.
28.05.2017	Sonntag	Exaudi (HERR, höre meine Stimme! Psalm 27,7)	Psalm 10,14	HERR, du siehst es ja, denn du schaust das Elend und den Jammer; es steht in deinen Händen.	Lukas 9,11	Jesus ließ die Menge zu sich und sprach zu ihnen vom Reich Gottes und machte gesund, die der Heilung bedurften.
29.05.2017	Montag		Psalm 5,13	Du, HERR, segnest die Gerechten, du deckest sie mit Gnade wie mit einem Schilde.	Hebräer 4,16	Lasst uns freimütig hinzutreten zu dem Thron der Gnade, auf dass wir Barmherzigkeit empfangen und Gnade finden und so Hilfe erfahren zur rechten Zeit.
30.05.2017	Dienstag		Jesaja 42,6.7	Ich, der HERR, habe dich gerufen, dass du die Augen der Blinden öffnen sollst und die Gefangenen aus dem Gefängnis führen und, die da sitzen in der Finsternis, aus dem Kerker.	Hebräer 13,3	Denkt an die Gefangenen, als wärt ihr Mitgefangene, und an die Misshandelten, weil auch ihr noch im Leibe lebt.
31.05.2017	Mittwoch		Psalm 25,15	Meine Augen sehen stets auf den HERRN; denn er wird meinen Fuß aus dem Netze ziehen.	Jakobus 5,8	Seid auch ihr geduldig und stärkt eure Herzen; denn das Kommen des Herrn ist nahe.
01.06.2017	Donnerstag		2.Samuel 24,10	David sprach zum HERRN: Ich habe schwer gesündigt, dass ich das getan habe. Und nun, HERR, nimm weg die Schuld deines Knechts.	Lukas 15,10	/Jesus spricht:/ Es ist Freude vor den Engeln Gottes über  e i n e n  Sünder, der Buße tut.
02.06.2017	Freitag		Psalm 77,3	In der Zeit meiner Not suche ich den Herrn; meine Hand ist des Nachts ausgereckt und lässt nicht ab.	2.Thessalonicher 3,5	Der Herr richte eure Herzen aus auf die Liebe Gottes und auf das Warten auf Christus.
03.06.2017	Samstag		Jesaja 50,4	Er weckt mich alle Morgen; er weckt mir das Ohr, dass ich höre, wie Jünger hören.	Apostelgeschichte 16,14	Lydia, eine Purpurhändlerin aus der Stadt Thyatira, hörte zu; der tat der Herr das Herz auf, sodass sie darauf Acht hatte, was von Paulus geredet wurde.
04.06.2017	Sonntag	Pfingstfest	Hosea 13,4	Ich bin der HERR, dein Gott, von Ägyptenland her. Einen Gott neben mir kennst du nicht, und keinen Heiland als allein mich.	1.Johannes 4,13-14	Daran erkennen wir, dass wir in ihm bleiben und er in uns, dass er uns von seinem Geist gegeben hat. Und wir haben gesehen und bezeugen, dass der Vater den Sohn gesandt hat als Heiland der Welt.
05.06.2017	Montag	Pfingstmontag	Jesaja 50,4	Gott der HERR hat mir eine Zunge gegeben, wie sie Jünger haben, dass ich wisse mit den Müden zu rechter Zeit zu reden.	2.Korinther 1,4	Auch wir können trösten, die in allerlei Bedrängnis sind, mit dem Trost, mit dem wir selber getröstet werden von Gott.
06.06.2017	Dienstag		Psalm 109,21	HERR, sei du mit mir um deines Namens willen; denn deine Gnade ist mein Trost: Errette mich!	Lukas 15,20	Als der Sohn noch weit entfernt war, sah ihn sein Vater und es jammerte ihn; er lief und fiel ihm um den Hals und küsste ihn.
07.06.2017	Mittwoch		Psalm 68,4	Die Gerechten freuen sich und sind fröhlich vor Gott und freuen sich von Herzen.	Römer 14,17	Das Reich Gottes ist Gerechtigkeit und Friede und Freude im Heiligen Geist.
08.06.2017	Donnerstag		Psalm 103,2.3	Lobe den HERRN, der dir alle deine Sünde vergibt und heilet alle deine Gebrechen.	Apostelgeschichte 3,8	Der Gelähmte sprang auf, konnte stehen und gehen und ging mit ihnen in den Tempel, lief und sprang umher und lobte Gott.
09.06.2017	Freitag		Jesaja 9,2	Vor dir freut man sich, wie man sich freut in der Ernte.	Apostelgeschichte 4,32	Die Menge der Gläubigen war ein Herz und eine Seele; auch nicht einer sagte von seinen Gütern, dass sie sein wären, sondern es war ihnen alles gemeinsam.
10.06.2017	Samstag		Psalm 16,2	Du bist ja der Herr! Ich weiß von keinem Gut außer dir.	Philipper 3,13-14	Ich vergesse, was dahinten ist, und strecke mich aus nach dem, was da vorne ist, und jage nach dem vorgesteckten Ziel, dem Siegespreis der himmlischen Berufung Gottes in Christus Jesus.
11.06.2017	Sonntag	Trinitatis (Dreieinigkeit)	Psalm 147,15	Er sendet seine Rede auf die Erde, sein Wort läuft schnell.	Apostelgeschichte 1,8	Ihr werdet die Kraft des Heiligen Geistes empfangen, der auf euch kommen wird, und werdet meine Zeugen sein in Jerusalem und in ganz Judäa und Samarien und bis an das Ende der Erde.
12.06.2017	Montag		Jesaja 51,12	Ich, ich bin euer Tröster! Wer bist du denn, dass du dich vor Menschen fürchtest, die doch sterben?	1.Petrus 3,14-15	Lasst euch nicht irremachen! Den Herrn aber, Christus, haltet heilig in euren Herzen.
13.06.2017	Dienstag		Hiob 5,8-9	/Elifas sprach:/ Ich würde mich zu Gott wenden und meine Sache vor ihn bringen, der große Dinge tut, die nicht zu erforschen sind, und Wunder, die nicht zu zählen sind.	Johannes 5,7-8	Der Kranke antwortete Jesus: Herr, ich habe keinen Menschen, der mich in den Teich bringt, wenn das Wasser sich bewegt; wenn ich aber hinkomme, so steigt ein anderer vor mir hinein. Jesus spricht zu ihm: Steh auf, nimm dein Bett und geh hin!
14.06.2017	Mittwoch		Psalm 91,15	/Der HERR spricht:/ Er ruft mich an, darum will ich ihn erhören.	Römer 8,26	Der Geist hilft unsrer Schwachheit auf. Denn wir wissen nicht, was wir beten sollen, wie sich’s gebührt; sondern der Geist selbst tritt für uns ein mit unaussprechlichem Seufzen.
15.06.2017	Donnerstag		Hosea 14,4	Wir wollen nicht mehr sagen zu dem Werk unserer Hände: »Du bist unser Gott«.	1.Korinther 3,22-23	Alles ist euer, ihr aber gehört Christus, Christus aber Gott.
16.06.2017	Freitag		Jesaja 66,10	Freuet euch mit Jerusalem und seid fröhlich über die Stadt, alle, die ihr sie lieb habt! Freuet euch mit ihr, alle, die ihr über sie traurig gewesen seid.	Matthäus 13,43	Die Gerechten werden leuchten wie die Sonne in ihres Vaters Reich.
17.06.2017	Samstag		Jeremia 2,29	Wie könnt ihr rechten mit mir? Ihr seid alle von mir abgefallen, spricht der HERR.	Lukas 19,42	Wenn doch auch du erkenntest an diesem Tag, was zum Frieden dient.
18.06.2017	Sonntag	1. Sonntag nach Trinitatis	Psalm 91,14	/Der HERR spricht:/ Er kennt meinen Namen, darum will ich ihn schützen.	Offenbarung 3,12	Wer überwindet, den will ich machen zum Pfeiler in dem Tempel meines Gottes, und er soll nicht mehr hinausgehen, und ich will auf ihn schreiben den Namen meines Gottes.
19.06.2017	Montag		Jeremia 8,9	Was können die Weisen Weises lehren, wenn sie des HERRN Wort verwerfen?	1.Korinther 2,5	Euer Glaube stehe nicht auf der Menschen Weisheit, sondern auf Gottes Kraft.
20.06.2017	Dienstag		Psalm 42,7	Mein Gott, betrübt ist meine Seele in mir, darum gedenke ich an dich.	Johannes 14,18	/Jesus spricht:/ Ich will euch nicht als Waisen zurücklassen; ich komme zu euch.
21.06.2017	Mittwoch		Psalm 22,2	Mein Gott, mein Gott, warum hast du mich verlassen? Ich schreie, aber meine Hilfe ist ferne.	Hebräer 2,18	Da Christus selber gelitten hat und versucht worden ist, kann er helfen denen, die versucht werden.
22.06.2017	Donnerstag		5.Mose 6,11-12	Wenn du nun isst und satt wirst, so hüte dich, dass du nicht den HERRN vergisst.	1.Korinther 10,31	Ob ihr nun esst oder trinkt oder was ihr auch tut, das tut alles zu Gottes Ehre.
23.06.2017	Freitag		Jesaja 33,2	HERR, sei unser Arm alle Morgen, ja unser Heil zur Zeit der Trübsal!	Epheser 3,20-21	Dem, der überschwänglich tun kann über alles hinaus, was wir bitten oder verstehen, nach der Kraft, die in uns wirkt, dem sei Ehre in der Gemeinde und in Christus Jesus zu aller Zeit.
24.06.2017	Samstag	Johannistag	Psalm 83,2-3	Gott, schweige doch nicht! Gott, bleib nicht so still und ruhig! Denn siehe, deine Feinde toben, und die dich hassen, erheben das Haupt.	Lukas 1,73-75	/Zacharias sprach:/ Der Gott Israels hat mit einem Eid versprochen, uns aus der Macht der Feinde zu befreien, damit wir keine Furcht mehr haben müssen und unser Leben lang ihm dienen können.
25.06.2017	Sonntag	2. Sonntag nach Trinitatis	1.Mose 50,21	Josef tröstete seine Brüder und redete freundlich mit ihnen.	Römer 12,21	Lass dich nicht vom Bösen überwinden, sondern überwinde das Böse mit Gutem.
26.06.2017	Montag		Psalm 119,43	Nimm ja nicht von meinem Munde das Wort der Wahrheit.	1.Korinther 4,1-2	Dafür halte uns jedermann: für Diener Christi und Haushalter über Gottes Geheimnisse. Nun fordert man nicht mehr von den Haushaltern, als dass sie für treu befunden werden.
27.06.2017	Dienstag		Jesaja 44,21	Ich habe dich bereitet, dass du mein Knecht seist. Israel, ich vergesse dich nicht!	Römer 11,1	Hat denn Gott sein Volk verstoßen? Das sei ferne!
28.06.2017	Mittwoch		Psalm 19,2	Die Himmel erzählen die Ehre Gottes.	Markus 1,10-11	Als Jesus aus dem Wasser stieg, sah er, dass sich der Himmel auftat und der Geist wie eine Taube herabkam auf ihn. Und da geschah eine Stimme vom Himmel: Du bist mein lieber Sohn, an dir habe ich Wohlgefallen.
29.06.2017	Donnerstag		Psalm 69,14	Ich bete, HERR, zu dir zur Zeit der Gnade; Gott, nach deiner großen Güte erhöre mich mit deiner treuen Hilfe.	Jakobus 5,13	Leidet jemand unter euch, der bete; ist jemand guten Mutes, der singe Psalmen.
30.06.2017	Freitag		Richter 10,15	Die Israeliten sprachen zum HERRN: Wir haben gesündigt, mache du es mit uns, wie dir’s gefällt; nur errette uns heute!	Hebräer 12,1	Lasst uns ablegen alles, was uns beschwert, und die Sünde, die uns umstrickt. Lasst uns laufen mit Geduld in dem Kampf, der uns bestimmt ist.
01.07.2017	Samstag		Psalm 94,18	Wenn ich sprach: Mein Fuß ist gestrauchelt, so hielt mich, HERR, deine Gnade.	2.Korinther 1,21	/Paulus schreibt:/ Gott ist’s, der uns fest macht samt euch in Christus.
02.07.2017	Sonntag	3. Sonntag nach Trinitatis	3.Mose 19,13	Du sollst deinen Nächsten nicht bedrücken.	Philipper 2,3	Tut nichts aus Eigennutz oder um eitler Ehre willen, sondern in Demut achte einer den andern höher als sich selbst.
03.07.2017	Montag		Jeremia 20,9	/Jeremia sprach:/ Ich dachte: Ich will seiner nicht mehr gedenken und nicht mehr in seinem Namen predigen. Aber es ward in meinem Herzen wie ein brennendes Feuer.	Apostelgeschichte 4,20	Wir können’s ja nicht lassen, von dem zu reden, was wir gesehen und gehört haben.
